Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee_ID,Promotion_Gap_Ratio,Role_Stagnation_Index,Training_Intensity_Score,Manager_Stability_Indicator,Promotion_Gap_Score,Training_Need_Indicator,Career_Stagnation_Flag,Retention_Opportunity_Index,Retention_Opportunity_Level,Career_Cluster,Career_Cluster_Label
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,EMP0001,0.0,0.6666666666666666,0.0,0.8333333333333334,Medium,High,0,62.5,High,1,Developing Professional
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,EMP0002,0.1,0.7,0.3,0.7,High,Low,0,45.5,Medium,1,Developing Professional
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,EMP0003,0.0,0.0,3.0,0.0,Low,Low,0,5.0,Low,0,Early-Career Explorer
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,EMP0004,0.375,0.875,0.375,0.0,High,Low,1,46.25,Medium,1,Developing Professional
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,EMP0005,1.0,1.0,1.5,1.0,Low,Low,0,95.0,High,1,Developing Professional
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,EMP0006,0.4285714285714285,1.0,0.2857142857142857,0.8571428571428571,High,Medium,1,70.0,High,1,Developing Professional
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,EMP0007,0.0,0.0,3.0,0.0,Low,Low,0,15.0,Low,0,Early-Career Explorer
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,EMP0008,0.0,0.0,2.0,0.0,Low,Medium,0,15.0,Low,0,Early-Career Explorer
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,EMP0009,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.8888888888888888,High,Medium,0,56.11111111111112,Medium,1,Developing Professional
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,EMP0010,1.0,1.0,0.4285714285714285,1.0,High,Low,1,90.0,High,2,Experienced Professional
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,EMP0011,0.0,0.8,1.0,0.6,Medium,Low,0,43.0,Medium,1,Developing Professional
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,EMP0012,0.0,0.5555555555555556,0.3333333333333333,0.8888888888888888,Medium,Low,0,35.0,Medium,1,Developing Professional
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,EMP0013,0.8,0.4,0.2,0.6,Medium,Medium,0,78.0,High,1,Developing Professional
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,EMP0014,0.5,1.0,1.0,1.0,Low,Medium,0,75.0,High,1,Developing Professional
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,EMP0015,0.0,0.5,1.0,0.75,Low,Low,0,31.25,Medium,1,Developing Professional
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,EMP0016,0.8,0.9,0.1,0.8,High,High,1,100.0,High,2,Experienced Professional
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,EMP0017,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,Low,Low,0,32.5,Medium,1,Developing Professional
22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,EMP0018,0.0,0.0,2.0,0.0,Low,Medium,0,10.0,Low,0,Early-Career Explorer
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,EMP0019,0.12,0.32,0.12,0.28,High,Low,1,18.6,Low,2,Experienced Professional
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,EMP0020,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,Low,Low,0,43.33333333333333,Medium,1,Developing Professional
24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,EMP0021,0.25,0.5,1.25,0.75,Low,Low,0,41.25,Medium,1,Developing Professional
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,EMP0022,0.0,0.6,0.8,0.6,Low,Low,0,42.0,Medium,1,Developing Professional
34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,EMP0023,0.1666666666666666,0.5,0.3333333333333333,0.9166666666666666,Medium,Low,0,45.41666666666666,Medium,2,Experienced Professional
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,EMP0024,0.0,0.0,6.0,0.0,Low,Low,0,0.0,Low,0,Early-Career Explorer
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,EMP0025,0.25,0.5,0.5,0.75,Low,Medium,0,61.25,High,1,Developing Professional
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,EMP0026,0.2857142857142857,0.9285714285714286,0.2142857142857142,0.5714285714285714,High,Low,1,52.85714285714285,Medium,2,Experienced Professional
32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,EMP0027,0.6,0.2,0.5,0.7,High,Low,0,55.5,Medium,1,Developing Professional
42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,EMP0028,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.2222222222222222,High,Medium,1,64.44444444444446,High,1,Developing Professional
44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,EMP0029,0.2272727272727272,0.2727272727272727,0.1818181818181818,0.7727272727272727,High,Low,1,28.863636363636363,Low,2,Experienced Professional
