Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee_ID,Promotion_Gap_Ratio,Role_Stagnation_Index,Training_Intensity_Score,Manager_Stability_Indicator,Promotion_Gap_Score,Training_Need_Indicator,Career_Stagnation_Flag,Retention_Opportunity_Index,Retention_Opportunity_Level,Career_Cluster,Career_Cluster_Label
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,EMP0005,1.0,1.0,1.5,1.0,Low,Low,0,95.0,High,1,Developing Professional
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,EMP0006,0.4285714285714285,1.0,0.2857142857142857,0.8571428571428571,High,Medium,1,70.0,High,1,Developing Professional
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,EMP0010,1.0,1.0,0.4285714285714285,1.0,High,Low,1,90.0,High,2,Experienced Professional
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,EMP0013,0.8,0.4,0.2,0.6,Medium,Medium,0,78.0,High,1,Developing Professional
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,EMP0014,0.5,1.0,1.0,1.0,Low,Medium,0,75.0,High,1,Developing Professional
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,EMP0016,0.8,0.9,0.1,0.8,High,High,1,100.0,High,2,Experienced Professional
42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,EMP0028,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.2222222222222222,High,Medium,1,64.44444444444446,High,1,Developing Professional
46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,EMP0030,1.0,1.0,1.0,0.5,Low,Medium,0,100.0,High,1,Developing Professional
35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,EMP0038,1.0,1.0,1.5,1.0,Low,Low,0,85.0,High,1,Developing Professional
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,EMP0044,0.1111111111111111,0.8888888888888888,0.0,0.7777777777777778,High,High,0,77.77777777777777,High,1,Developing Professional
34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,EMP0047,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.7777777777777778,High,Medium,1,78.88888888888889,High,2,Experienced Professional
44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,EMP0053,0.25,0.75,0.5,0.75,Low,Medium,0,68.75,High,1,Developing Professional
33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,EMP0056,0.5333333333333333,0.9333333333333332,0.0666666666666666,0.8,High,High,1,81.33333333333333,High,2,Experienced Professional
35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,EMP0058,1.0,1.0,1.5,1.0,Low,Low,0,100.0,High,1,Developing Professional
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,EMP0061,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.8888888888888888,High,Low,1,71.1111111111111,High,2,Experienced Professional
38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,EMP0062,0.9,0.3,0.2,0.9,High,Medium,1,68.5,High,2,Experienced Professional
36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,EMP0065,0.7058823529411765,0.8235294117647058,0.1176470588235294,0.4705882352941176,High,Medium,1,75.0,High,2,Experienced Professional
